id,qty,isArchived,isDeleted,updatedAt,createdAt,salesOrder,inventory,price
0,3,False,False,2017-01-01,2017-01-01,0,8,14.9
1,1,False,False,2017-01-01,2017-01-01,0,16,28.0
2,2,False,False,2017-01-01,2017-01-01,0,14,43.3
3,2,False,False,2017-01-01,2017-01-01,12860,89,12.4
4,3,False,False,2017-01-01,2017-01-01,12860,91,5.8
5,2,False,False,2017-01-01,2017-01-01,12860,103,11.9
6,1,False,False,2017-01-01,2017-01-01,12861,105,5.9
7,2,False,False,2017-01-01,2017-01-01,12861,106,1.4
8,4,False,False,2017-01-01,2017-01-01,20638,150,11.9
9,4,False,False,2017-01-01,2017-01-01,23224,153,4.9
10,1,False,False,2017-01-01,2017-01-01,23224,153,4.9
11,5,False,False,2017-01-01,2017-01-01,23225,160,3.9
12,2,False,False,2017-01-01,2017-01-01,2556,22,6.9
13,1,False,False,2017-01-01,2017-01-01,2556,20,16.9
14,2,False,False,2017-01-01,2017-01-01,2557,23,31.9
15,3,False,False,2017-01-01,2017-01-01,2558,24,19.9
16,2,False,False,2017-01-01,2017-01-01,2560,28,24.9
17,2,False,False,2017-01-01,2017-01-01,12859,110,2.9
18,1,False,False,2017-01-01,2017-01-01,7680,57,2.9
19,4,False,False,2017-01-01,2017-01-01,7680,58,6.6
20,3,False,False,2017-01-01,2017-01-01,15453,116,10.7
21,3,False,False,2017-01-01,2017-01-01,15454,122,27.4
22,1,False,False,2017-01-01,2017-01-01,15455,130,23.8
23,3,False,False,2017-01-01,2017-01-01,15455,131,39.9
24,3,False,False,2017-01-01,2017-01-01,15455,114,7.9
25,4,False,False,2017-01-01,2017-01-01,15456,121,5.4
26,2,False,False,2017-01-01,2017-01-01,15456,122,27.4
27,2,False,False,2017-01-01,2017-01-01,15457,127,8.9
28,3,False,False,2017-01-01,2017-01-01,15457,113,4.6
29,3,False,False,2017-01-01,2017-01-01,5128,52,4.3
30,5,False,False,2017-01-01,2017-01-01,18027,133,12.9
31,3,False,False,2017-01-01,2017-01-01,18027,146,6.9
32,4,False,False,2017-01-01,2017-01-01,18028,133,12.9
33,2,False,False,2017-01-01,2017-01-01,18028,134,39.9
34,1,False,False,2017-01-01,2017-01-01,18029,139,22.5
35,4,False,False,2017-01-01,2017-01-01,18029,140,10.9
36,5,False,False,2017-01-01,2017-01-01,18029,144,24.9
37,3,False,False,2017-01-01,2017-01-01,7679,61,14.9
38,1,False,False,2017-01-01,2017-01-01,7679,60,25.9
39,3,False,False,2017-01-01,2017-01-01,10232,76,9.9
40,4,False,False,2017-01-01,2017-01-01,10232,66,1.5
41,2,False,False,2017-01-01,2017-01-01,10232,67,7.8
42,5,False,False,2017-01-01,2017-01-01,2559,28,24.9
43,2,False,False,2017-01-01,2017-01-01,2559,25,20.9
44,5,False,False,2017-01-01,2017-01-01,1,8,14.9
45,3,False,False,2017-01-01,2017-01-01,1,2,4.7
46,3,False,False,2017-01-01,2017-01-01,4,10,6.3
47,1,False,False,2017-01-01,2017-01-01,4,5,4.4
48,3,False,False,2017-01-01,2017-01-01,4,4,15.2
49,1,False,False,2017-01-01,2017-01-01,3,5,4.4
50,5,False,False,2017-01-01,2017-01-01,3,2,4.7
51,1,False,False,2017-01-01,2017-01-01,2,12,12.6
52,5,False,False,2017-01-01,2017-01-01,2,7,22.6
53,3,False,False,2017-01-01,2017-01-01,2,11,19.9
54,2,False,False,2017-01-02,2017-01-02,20640,150,11.9
55,1,False,False,2017-01-02,2017-01-02,20640,150,11.9
56,2,False,False,2017-01-02,2017-01-02,20641,150,11.9
57,5,False,False,2017-01-02,2017-01-02,20641,150,11.9
58,1,False,False,2017-01-02,2017-01-02,20642,150,11.9
59,3,False,False,2017-01-02,2017-01-02,2563,26,13.1
60,4,False,False,2017-01-02,2017-01-02,2564,20,16.9
61,4,False,False,2017-01-02,2017-01-02,7681,55,24.8
62,2,False,False,2017-01-02,2017-01-02,7681,62,10.9
63,4,False,False,2017-01-02,2017-01-02,7683,60,25.9
64,3,False,False,2017-01-02,2017-01-02,7683,64,9.0
65,3,False,False,2017-01-02,2017-01-02,7683,60,25.9
66,4,False,False,2017-01-02,2017-01-02,20639,150,11.9
