ds,y
2010-12-1,26814
2010-12-10,20297
2010-12-12,10565
2010-12-13,17623
2010-12-14,20098
2010-12-15,18229
2010-12-16,29632
2010-12-17,16069
2010-12-19,3795
2010-12-2,21023
2010-12-20,14965
2010-12-21,15467
2010-12-22,3192
2010-12-23,5648
2010-12-3,14830
2010-12-5,16395
2010-12-6,21419
2010-12-7,24995
2010-12-8,22741
2010-12-9,18431
2011-1-10,9014
2011-1-11,29093
2011-1-12,10133
2011-1-13,10114
2011-1-14,23091
2011-1-16,4181
2011-1-17,13345
2011-1-18,8664
2011-1-19,17108
2011-1-20,8720
2011-1-21,14938
2011-1-23,5194
2011-1-24,11910
2011-1-25,14793
2011-1-26,10854
2011-1-27,10974
2011-1-28,17414
2011-1-30,3367
2011-1-31,12568
2011-1-4,7939
2011-1-5,18435
2011-1-6,22461
2011-1-7,16475
2011-1-9,8181
2011-10-10,25405
2011-10-11,20091
2011-10-12,15525
2011-10-13,17859
2011-10-14,17475
2011-10-16,8311
2011-10-17,30214
2011-10-18,28960
2011-10-19,19039
2011-10-2,8380
2011-10-20,40802
2011-10-21,24728
2011-10-23,7068
2011-10-24,21514
2011-10-25,24686
2011-10-26,20865
2011-10-27,32301
2011-10-28,23845
2011-10-3,24652
2011-10-30,20062
2011-10-31,4926
2011-10-4,18689
2011-10-5,46161
2011-10-6,31268
2011-10-7,30431
2011-10-9,7275
2011-11-1,16686
2011-11-10,38077
2011-11-11,28513
2011-11-13,20356
2011-11-14,45959
2011-11-15,30221
2011-11-16,29353
2011-11-17,30779
2011-11-18,23535
2011-11-2,28319
2011-11-20,19369
2011-11-21,24004
2011-11-22,35284
2011-11-23,37350
2011-11-24,23743
2011-11-25,31026
2011-11-27,11161
2011-11-28,28647
2011-11-29,30511
2011-11-3,34019
2011-11-30,26482
2011-11-4,33546
2011-11-6,23295
2011-11-7,27689
2011-11-8,26124
2011-11-9,36238
2011-12-1,26819
2011-12-2,26952
2011-12-4,12396
2011-12-5,44119
2011-12-6,29026
2011-12-7,39612
2011-12-8,34460
2011-12-9,12949
2011-2-1,15340
2011-2-10,11447
2011-2-11,9831
2011-2-13,2715
2011-2-14,13469
2011-2-15,22533
2011-2-16,15990
2011-2-17,14544
2011-2-18,8165
2011-2-2,9355
2011-2-20,5346
2011-2-21,21456
2011-2-22,21448
2011-2-23,13622
2011-2-24,11724
2011-2-25,9888
2011-2-27,4858
2011-2-28,9880
2011-2-3,16935
2011-2-4,11367
2011-2-6,2048
2011-2-7,8679
2011-2-8,10201
2011-2-9,7148
2011-3-1,12120
2011-3-10,15767
2011-3-11,10465
2011-3-13,2741
2011-3-14,16717
2011-3-15,8918
2011-3-16,12583
2011-3-17,20589
2011-3-18,13756
2011-3-2,8495
2011-3-20,14165
2011-3-21,10201
2011-3-22,14884
2011-3-23,11283
2011-3-24,18157
2011-3-25,13303
2011-3-27,4408
2011-3-28,13125
2011-3-29,32413
2011-3-3,18414
2011-3-30,19719
2011-3-31,16237
2011-3-4,13332
2011-3-6,4989
2011-3-7,13715
2011-3-8,6918
2011-3-9,4458
2011-4-1,17374
2011-4-10,5526
2011-4-11,13499
2011-4-12,15121
2011-4-13,18100
2011-4-14,17401
2011-4-15,12726
2011-4-17,8181
2011-4-18,22246
2011-4-19,14383
2011-4-20,17973
2011-4-21,18253
2011-4-26,15665
2011-4-27,17836
2011-4-28,13184
2011-4-3,5660
2011-4-4,13045
2011-4-5,14763
2011-4-6,8576
2011-4-7,10356
2011-4-8,9230
2011-5-1,3814
2011-5-10,17719
2011-5-11,16233
2011-5-12,36141
2011-5-13,15074
2011-5-15,4898
2011-5-16,14484
2011-5-17,26886
2011-5-18,18785
2011-5-19,17783
2011-5-20,15154
2011-5-22,12736
2011-5-23,16443
2011-5-24,15629
2011-5-25,11839
2011-5-26,16192
2011-5-27,16713
2011-5-29,4084
2011-5-3,11867
2011-5-31,11546
2011-5-4,15765
2011-5-5,17331
2011-5-6,19632
2011-5-8,10692
2011-5-9,12951
2011-6-1,10880
2011-6-10,8134
2011-6-12,9482
2011-6-13,9387
2011-6-14,-13752
2011-6-15,29978
2011-6-16,18178
2011-6-17,11678
2011-6-19,15060
2011-6-2,13838
2011-6-20,15518
2011-6-21,7846
2011-6-22,15769
2011-6-23,14272
2011-6-24,9827
2011-6-26,3495
2011-6-27,9835
2011-6-28,19642
2011-6-29,11544
2011-6-3,7557
2011-6-30,21297
2011-6-5,13470
2011-6-6,9167
2011-6-7,18462
2011-6-8,20784
2011-6-9,30275
2011-7-1,7358
2011-7-10,4214
2011-7-11,14989
2011-7-12,13760
2011-7-13,16206
2011-7-14,16904
2011-7-15,6841
2011-7-17,11042
2011-7-18,14366
2011-7-19,26287
2011-7-20,16795
2011-7-21,19747
2011-7-22,10019
2011-7-24,17271
2011-7-25,15457
2011-7-26,13560
2011-7-27,13859
2011-7-28,29700
2011-7-29,11472
2011-7-3,3106
2011-7-31,20873
2011-7-4,15682
2011-7-5,21696
2011-7-6,19275
2011-7-7,18956
2011-7-8,11681
2011-8-1,9947
2011-8-10,14228
2011-8-11,40191
