Business Category,Business Name,Business Description,Website,Phone,Address,Email
HEALTH,"MICHELLE CROWLEY , REGISTERED CLINICAL COUNSELLOR",COUNSELLING PRACTICE,,778-847-4357,"820 - 220 BREW ST, PORT MOODY",
RETAIL COMMERCIAL,SHELL - CONVENIENCE STORE,CONVENIENCE STORE,,604-936-0633,"2405 ST JOHNS ST, PORT MOODY",jayant.joshi@ymail.com
HEALTH,PORT MOODY STATION DENTAL,DENTAL OFFICE GENERAL DENTIST,,604-492-0807,"2746 ST JOHNS ST, PORT MOODY",portmoodydental@gmail.com
HEALTH,PORT MOODY STATION DENTAL,DENTAL OFFICE GENERAL DENTIST,,604-492-0807,"2746 ST JOHNS ST, PORT MOODY",portmoodydental@gmail.com
ACCOMMODATIONS,HERITAGE MOUNTAIN HOMESTAY,BED & BREAKFAST,,604-461-7040,"29 HETT CREEK DR, PORT MOODY",kchin56@telus.net
HEALTH,DR. MARK F. CASAFRANCISCO INC.,PEDIATRIC DENTIST @ MONARCH PEDIATRIC DENTAL CENTRE,,604-461-4980,"501 - 205 NEWPORT DR, PORT MOODY",
HEALTH,DR. JILL LOGAN,CLINICAL PSYCHOLOGY,,778-998-5455,"2226 ST JOHNS ST, PORT MOODY",dr.jill.logan@gmail.com
HEALTH,CLEARISH COACHING,Coaching & Counselling - Professional,,,"74 RAVINE DR, PORT MOODY",kleslie@shaw.ca
HEALTH,MARIA FABIANO COUNSELLING SERVICES,COUNSELLOR IN PRIVATE PRACTICE,,778-839-4066,"301 - 220 BREW ST, PORT MOODY",mariafabianocounselling@gmail.com
ENTERTAINMENT,MIDNIGHT CAFE,HOOKAH SHOP,,,"2509 ST JOHNS ST, PORT MOODY",
HEALTH,YUMIN LEE REGISTERED MASSAGE THERAPIST,REGISTERED MASSAGE THERAPY - MOBILE,,604-722-5994,"909 - 660 NOOTKA WAY, PORT MOODY",lauralee.rmt@gmail.com
BEAUTY/ESTHETICS,BEAUTY SECRET SKIN CARE,SKIN CARE/ESTHETICS/SPA,,,"3082 ST JOHNS ST, PORT MOODY",
HEALTH,"EVAN GAIN, RMT",REGISTERED MASSAGE THERAPY @ COASTAL CHIROPRACTIC & WELLNESS,,604-949-0186,"11 - 3130 ST JOHNS ST, PORT MOODY",evangain@hotmail.com
HEALTH,THERAPY PRIVATE PRACTICE,PRIVATE PRACTICE FOR MARRIAGE AND FAMILY THERAPIST,,604-366-5111,"2226 ST JOHNS ST, PORT MOODY",info@janey.ca
FOOD & BEVERAGE,NGB COFFEE HOUSE LTD,COFFEE HOUSE,,604-492-4522,"2500 ST JOHNS ST, PORT MOODY",palmers7004@yahoo.ca
COMMUNITY SERVICES/EDUCATION,KINDER JOY DAYCARE,FAMILY HOME DAYCARE,,778-872-1003,"406 GLENCOE DR, PORT MOODY",
HEALTH,DR. ELSA HUI-DERKSEN INC.,PEDIATRIC DENTIST @ MONARCH PEDIATRIC DENTAL CENTRE,,604-461-4980,"501 - 205 NEWPORT DR, PORT MOODY",
HEALTH,JOANNE WOLF REFLEXOLOGY,CERTIFIED REFLEXOLOGIST - MOBILE SERVICE,,604-354-5656,"1805 - 660 NOOTKA WAY, PORT MOODY",healing.hands.8@outlook.com
INDUSTRIAL,TRI-SHORE YACHT SERVICES LTD,Boat Repair,,604-939-3392,"13 - 850 BARNET HWY, PORT MOODY",
BEAUTY/ESTHETICS,WHITE NAIL BAR,PROVIDING NAIL SERVICES,,604-461-4247,"103 - 3003 ST JOHNS ST, PORT MOODY",
FOOD & BEVERAGE,PIZZA STATION,PIZZA RESTAURANT,,604-469-8448,"2818 ST JOHNS ST, PORT MOODY",afridi01@hotmail.com
HEALTH,MELANIE SCHURR,OFFERING HANDS-ON TREATMENTS @ KUSHALA YOGA,,604-461-9642,"303 - 130 BREW ST, PORT MOODY",www.kushalayoga.com
HEALTH,WESTPRO PHYSIOTHERAPY,PHYSIOTHERAPY CLINIC,,604-767-1262,"1 - 3130 ST JOHNS ST, PORT MOODY",info@westprophysio.com
HEALTH,DR. JENNIFER YEE INC.,PEDIATRIC DENTIST @ MONARCH PEDIATRIC DENTAL CENTRE,,604-461-4980,"501 - 205 NEWPORT DR, PORT MOODY",
HEALTH,POLLY FONG,CLINICAL COUNSELLING SERVICES,,778-775-5649,"301 - 220 BREW ST, PORT MOODY",counsellorpolly@gmail.com
MEDIA/MUSIC/ART,CECILIA MUSIC ACADEMY,MOBILE MUSIC EDUCATION,,604-908-7116,"2705 CLARKE ST, PORT MOODY",fiddler@telus.net
BEAUTY/ESTHETICS,BEAUTYTUDE FACIAL BOUTIQUE @ KUSHALA YOGA,SKIN CARE,,604-461-9642,"303 - 130 BREW ST, PORT MOODY",mybeautytude@hotmail.com
CONTRACTORS,TANGO FLOORING CORP.,flooring,,,"211 CLEARVIEW DR, PORT MOODY",
RETAIL COMMERCIAL,FARO COUNTERTOPS,COMMERCIAL SALE OF COUNTEROPS & CABINETS,,778-387-3148,"3054 ST JOHNS ST, PORT MOODY",
SPORT/RECREATION/TRAVEL,ANTAEAN FENCING CLUB,FENCING CLUB,,778-877-5247,"2805 SPRING ST, PORT MOODY",
COMMUNITY SERVICES/EDUCATION,COM-TECH LEARNING SOLUTIONS INC.,EDUCATIONAL TRAINING PROVIDER,,604-889-2400,"301 - 220 BREW ST, PORT MOODY",accounts@com-techsolutions.com
INDUSTRIAL,ALTAMAR MARINE INC.,Service & Repair of Boats,,604-937-7317,"850 BARNET HWY, PORT MOODY",
HEALTH,STARR COUNSELLING,COUNSELLING SERVICES,,604-352-7737,"301 - 220 BREW ST, PORT MOODY",
BUSINESS SERVICES,SMYTH HOOVER SANDHU,LAW FIRM,,604-942-6560,"301 - 220 BREW ST, PORT MOODY",CONNIE@SMYTHANDCOMPANY.CA
HEALTH,ZEN FLOWER ACUPUNCTURE INC,ACUPUNCTURIST @ HEALING CEDAR WELLNESS,,604-469-1616,"8 - 3130 ST JOHNS ST, PORT MOODY",jennaknight@zenfloweracu.com
AUTOMOTIVE,PORT MOODY WHEEL ALIGNMENT (1994),Auto Wheel Alignment,,604-461-2345,"3227 ST JOHNS ST, PORT MOODY",pmwheel@shaw.ca
BEAUTY/ESTHETICS,PORT MOODY SALON,ESTHETICS,,778-997-4999,"910 CLARKE RD, PORT MOODY",annguyen8510@gmail.com
HEALTH,"DR. TANIA BARTOLO, REGISTERED PSYCHOLOGIST","OFFERING CLINICAL PSYCHOLOGY SERVICES (THERAPY) TO CHILDREN, ADOLESCENTS & THEIR PARENTS",,778-689-1679,"402 - 205 NEWPORT DR, PORT MOODY",info@drtaniabartolo.com
CONTRACTORS,LIGHTZ,MOBILE HEADLIGHT RESTORATION CONTRACTOR,,,"203 - 3002 HENRY ST, PORT MOODY",dusanrstankovic@gmail.com
CONTRACTORS,PURITY CLEANING SERVICES,CLEANING SERVICES TO RESIDENTIAL AND COMMERCIAL LOCATIONS,,778-939-4134,"116 BALMORAL DR, PORT MOODY",raid.agha@gmail.com
CONTRACTORS,BAILEY LANDSCAPE,landscape construction,,,"2201 - 660 NOOTKA WAY, PORT MOODY",baileylandscape.ca
COMMUNITY SERVICES/EDUCATION,JOONI WOOGI ACADEMY,TUTORING FACILITY MAINLY FOCUSING ON SECONDARY STUDENTS,,604-464-6464,"211 - 3003 ST JOHNS ST, PORT MOODY",math38k@gmail.com
FOOD & BEVERAGE,BC TACO,CATERING FOOD TRUCK,,778-839-4478,"12 - 181 RAVINE DR, PORT MOODY",cim@ipalink.net
INDUSTRIAL,AMACO MACHINERY LTD,Custom Machining and Fabricating,,604-469-8711,"2921 MURRAY ST, PORT MOODY",amacomachinery@shawbiz.ca
CONTRACTORS,RUFUS ENTERPRISES LTD,DRYWALL CONTRACTOR.,,604-936-6384,"2229 CLARKE ST, PORT MOODY",rufus@drywallers.com
BEAUTY/ESTHETICS,'OIHANA BEAUTY,MICROBLADING SERVICES @ SUGARING CHANGE,,604-761-2447,"3 - 3130 ST JOHNS ST, PORT MOODY",oihanapmu@gmail.com
CONTRACTORS,Y&L MANAGEMENT INC,IMMIGRATION AGENCY/INTERNATIONAL STUDENT AGENCY,,604-917-0426,"301 - 220 BREW ST, PORT MOODY",stivan@icanstudyabc.com
INDUSTRIAL,SHELL - GAS STATION,GAS STATION,,604-936-0633,"2405 ST JOHNS ST, PORT MOODY",jayant.joshi@ymail.com
BEAUTY/ESTHETICS,EVER AFTER BEAUTY,EVER AFTER BEAUTY,,778-996-7929,"3242 ST JOHNS ST, PORT MOODY",
HEALTH,"DYLANA ELLIOT, RMT",REGISTERED MASSAGE THERAPIST,,604-469--1616,"3130 ST JOHNS ST, PORT MOODY",info@healingcedarwellness.com
FOOD & BEVERAGE,SAKEYA,JAPANESE RESTAURANT,,604-461-1160,"2838 ST JOHNS ST, PORT MOODY",jaehoon5199@gmail.com
HEALTH,BODY ALCHEMY MASSAGE,REGISTERED MASSAGE THERAPIST,,,"210 - 221 IOCO RD, PORT MOODY",
HEALTH,MOOD COUNSELLING,CLINICAL COUNSELLING & SOCIAL WORK,,604-313-7950,"301 - 220 BREW ST, PORT MOODY",moodcounselling@gmail.com
